학교명,학교급구분,설립일자,설립형태,본교분교구분,소재지도로명주소,시도교육청명,교육지원청명,위도,경도
진안중학교,중학교,1949-08-18,공립,본교,전라북도 진안군 진안읍 상역로 86,전라북도교육청,전라북도진안교육지원청,35.80074338,127.4183991
송운초등학교,초등학교,1996-03-01,공립,본교,부산광역시 해운대구 신반송로 20,부산광역시교육청,부산광역시해운대교육지원청,35.22861126,129.1573917
서천여자중학교,중학교,1964-03-09,공립,본교,충청남도 서천군 서천읍 군청로 84,충청남도교육청,충청남도서천교육지원청,36.08139458,126.69382
대평초등학교,초등학교,1999-11-01,공립,본교,경기도 수원시 장안구 대평로 111,경기도교육청,경기도수원교육지원청,37.29774522,126.9907648
이화여자대학교사범대학부속이화금란고등학교,고등학교,1958-04-01,사립,본교,서울특별시 서대문구 성산로 560,서울특별시교육청,서울특별시서부교육지원청,37.56638886,126.9473028
녹전초등학교,초등학교,1934-12-12,공립,본교,경상북도 안동시 녹전면 녹전로 695,경상북도교육청,경상북도안동교육지원청,36.74105651,128.7741181
수지초등학교,초등학교,1932-11-22,공립,본교,경기도 용인시 수지구 정평로13번길 30,경기도교육청,경기도용인교육지원청,37.3167412,127.085295
전주호성중학교,중학교,1993-04-03,공립,본교,전라북도 전주시 덕진구 배미실마을길 23,전라북도교육청,전라북도전주교육지원청,35.86432944,127.1571788
성일고등학교,고등학교,1973-06-20,사립,본교,경기도 성남시 중원구 시민로77번길 10,경기도교육청,경기도성남교육지원청,37.43487853,127.1448205
운정초등학교,초등학교,2013-03-01,공립,본교,경기도 파주시 와석순환로 35-34,경기도교육청,경기도파주교육지원청,37.70790306,126.753863
현대고등학교,고등학교,1985-04-29,사립,본교,서울특별시 강남구 압구정로 127,서울특별시교육청,서울특별시강남서초교육지원청,37.5254805,127.0223773
진원초등학교,초등학교,1922-10-04,공립,본교,전라남도 장성군 진원면 진남1로 199,전라남도교육청,전라남도장성교육지원청,35.26278212,126.8218822
용방초등학교,초등학교,1940-06-01,공립,본교,전라남도 구례군 용방면 용방로 464,전라남도교육청,전라남도구례교육지원청,35.25072657,127.4331235
안강제일초등학교,초등학교,1923-05-27,공립,본교,경상북도 경주시 안강읍 안강중앙로 189,경상북도교육청,경상북도경주교육지원청,35.99441293,129.2210344
대전가오초등학교,초등학교,2006-09-01,공립,본교,대전광역시 동구 신기로 112,대전광역시교육청,대전광역시동부교육지원청,36.31081251,127.4585741
쌍류초등학교,초등학교,1934-05-01,공립,본교,세종특별자치시 연서면 벌말길 73,세종특별자치시교육청,세종특별자치시교육청,36.5993997,127.209739
냉정초등학교,초등학교,1996-03-01,공립,본교,경기도 시흥시 역전로 369,경기도교육청,경기도시흥교육지원청,37.35779542,126.7351716
서신중학교,중학교,1956-04-01,사립,본교,경기도 화성시 서신면 바다뜰길 49-9,경기도교육청,경기도화성오산교육지원청,37.16956359,126.7005959
서원주초등학교,초등학교,2000-09-01,공립,본교,강원도 원주시 남원로469번길 61,강원도교육청,강원도원주교육지원청,37.32716911,127.9398707
